Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00018077,บริษัท สยามอีเทอร์โฟม จำกัด,62-0278,RB15966231,2019-08-14,MR.PHASAKORN C.,08/2019,2019-11-30,1.00000,THB,"588,500.00",THB,"588,500.00","588,500.00",0.00,0.00,0.00,0.00,1000198990,,RB1
BG00014014,บริษัท เอส ที บี เท็กซ์ไทล์,PO190808-044,RB15966232,2019-08-14,MR. KEAITTICHAI  A.,08/2019,2019-10-13,1.00000,THB,"118,833.24",THB,"118,833.24","118,833.24",0.00,0.00,0.00,0.00,1000198807,,RB1
BG00014019,บริษัท เอส เค ออโต้ อินทีเรีย,19L19670,RB15966233,2019-08-14,MR. KEAITTICHAI  A.,08/2019,2019-09-30,1.00000,THB,"95,576.68",THB,"95,576.68","95,576.68",0.00,0.00,0.00,0.00,1000198969,,RB1
BG00013103,บริษัท ไทยสแตนเลย์การไฟฟ้า จำก,4500048150,RB15966234,2019-08-14,MS. SUTINA CHONLACHIT,08/2019,2019-10-13,1.00000,THB,"112,992.00",THB,"112,992.00","112,992.00",0.00,0.00,0.00,0.00,1000198976,,RB1
BG00022241,บริษัท บางกอกซีท จำกัด,BS19-07-040,RB15966235,2019-08-14,MR. WICHANCHAI  S.,08/2019,2019-11-12,1.00000,THB,"419,597.29",THB,"419,597.29","419,597.29",0.00,0.00,0.00,0.00,1000197274,,
BG00012085,บริษัท วาบิกัส โกลบอล จำกัด,2019-08-268,RB15966236,2019-08-14,MR. KEAITTICHAI  A.,08/2019,2019-10-28,1.00000,THB,"78,912.50",THB,"78,912.50","78,912.50",0.00,0.00,0.00,0.00,1000198841,,RB1
BG00012085,บริษัท วาบิกัส โกลบอล จำกัด,2019-08-267,RB15966237,2019-08-14,MR. KEAITTICHAI  A.,08/2019,2019-10-28,1.00000,THB,"16,050.00",THB,"16,050.00","16,050.00",0.00,0.00,0.00,0.00,1000198840,,RB1
BG00012077,บริษัท โตโยต้า ทูโช (ไทยแลนด์),PC597TTAF066,RB15966238,2019-08-14,MR. KEAITTICHAI  A.,08/2019,2019-09-30,1.00000,THB,"1,259,497.86",THB,"1,259,497.86","1,259,497.86",0.00,0.00,0.00,0.00,1000196061,,
BG00012070,บริษัท นากาเซ่(ประเทศไทย) จำกั,460469846,RB15966239,2019-08-14,MR. WICHANCHAI  S.,08/2019,2019-11-12,1.00000,THB,"327,473.50",THB,"327,473.50","327,473.50",0.00,0.00,0.00,0.00,1000198970,,RB1
BG00013992,บริษัท โยโกฮามา รับเบอร์,PO20190800092,RB15966240,2019-08-14,MR. KEAITTICHAI  A.,08/2019,2019-09-13,1.00000,THB,"74,377.31",THB,"74,377.31","74,377.31",0.00,0.00,0.00,0.00,1000198349,,RB1
BG00014016,บริษัท เอ็นเอชเค สปริง,89G24217,RB15966241,2019-08-14,MR. WICHANCHAI  S.,08/2019,2019-10-13,1.00000,THB,"325,252.18",THB,"325,252.18","325,252.18",0.00,0.00,0.00,0.00,1000198862,,RB1
BG00013131,บริษัท โตโยอิ๊งค์ (ประเทศไทย),6000065079,RB15966242,2019-08-14,MS. KULASAB,08/2019,2019-11-12,1.00000,THB,"59,706.00",THB,"59,706.00","59,706.00",0.00,0.00,0.00,0.00,1000198524,,RB1
BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,RWK1908-00077,RB15966243,2019-08-15,MS. KULASAB,08/2019,2019-12-13,1.00000,THB,"252,520.00",THB,"252,520.00","252,520.00",0.00,0.00,0.00,0.00,1000199269,,RB1
BG00013103,บริษัท ไทยสแตนเลย์การไฟฟ้า จำก,4500048120,RB15966244,2019-08-14,MS. SUTINA CHONLACHIT,08/2019,2019-10-13,1.00000,THB,"141,240.00",THB,"141,240.00","141,240.00",0.00,0.00,0.00,0.00,1000199292,,RB1
BG00012960,บริษัท ลีอองเทกซ์ จำกัด,2562-03,RB15966245,2019-08-15,MS. SUTINA CHONLACHIT,08/2019,2019-10-14,1.00000,THB,"55,640.00",THB,"55,640.00","55,640.00",0.00,0.00,0.00,0.00,1000199103,,
BG00013156,บริษัท วอดดิ้ง นันวูเว่น จำกัด,'-,RB15966246,2019-08-15,MS. SUTINA CHONLACHIT,08/2019,2019-11-13,1.00000,THB,"203,300.00",THB,"203,300.00","203,300.00",0.00,0.00,0.00,0.00,1000199005,,RB1
