Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CM7012,17-12-17,17-12-18,17-12-17,40000042369,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CM7012,17-12-17,17-12-18,17-12-17,40000042369,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CM7012,17-12-17,17-12-18,17-12-17,40000042369,Non Volatile Content,64.9,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CM7012,17-12-17,17-12-18,17-12-17,40000042369,Viscosity,A092,,,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,A,CA7001,09-01-17,09-01-18,31-01-17,40000030888,Acid Value,11.7,10.0,14.0,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,A,CA7001,09-01-17,09-01-18,31-01-17,40000030888,Appearance,A012,,,Visual Check
ENFB34100-DR000200,ALMATEX B341,RB11,A,CA7001,09-01-17,09-01-18,31-01-17,40000030888,Color,1,-999,2,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,A,CA7001,09-01-17,09-01-18,31-01-17,40000030888,Non Volatile Content,64.1,63.5,66.5,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,A,CA7001,09-01-17,09-01-18,31-01-17,40000030888,Viscosity,A107,,,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,25-05-17,40000035219,Acid Value,10.9,10.0,14.0,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,25-05-17,40000035219,Appearance,A012,,,Visual Check
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,25-05-17,40000035219,Color,1,-999,2,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,25-05-17,40000035219,Non Volatile Content,65.4,63.5,66.5,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,25-05-17,40000035219,Viscosity,A105,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB7001,22-02-17,22-02-18,23-02-17,40000031759,Acid Value,12.8,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB7001,22-02-17,22-02-18,23-02-17,40000031759,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB7001,22-02-17,22-02-18,23-02-17,40000031759,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB7001,22-02-17,22-02-18,23-02-17,40000031759,Non Volatile Content,68.4,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CB7001,22-02-17,22-02-18,23-02-17,40000031759,Viscosity,A099,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7002,04-03-17,04-03-18,04-03-17,40000032080,Acid Value,13.1,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7002,04-03-17,04-03-18,04-03-17,40000032080,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7002,04-03-17,04-03-18,04-03-17,40000032080,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7002,04-03-17,04-03-18,04-03-17,40000032080,Non Volatile Content,68.3,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7002,04-03-17,04-03-18,04-03-17,40000032080,Viscosity,A098,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7003,28-03-17,28-03-18,28-03-17,40000033172,Acid Value,12.9,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7003,28-03-17,28-03-18,28-03-17,40000033172,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7003,28-03-17,28-03-18,28-03-17,40000033172,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7003,28-03-17,28-03-18,28-03-17,40000033172,Non Volatile Content,67.6,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CC7003,28-03-17,28-03-18,28-03-17,40000033172,Viscosity,A100,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CD7004,09-04-17,09-04-18,09-04-17,40000033639,Acid Value,13.0,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CD7004,09-04-17,09-04-18,09-04-17,40000033639,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CD7004,09-04-17,09-04-18,09-04-17,40000033639,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CD7004,09-04-17,09-04-18,09-04-17,40000033639,Non Volatile Content,68.3,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CD7004,09-04-17,09-04-18,09-04-17,40000033639,Viscosity,A097,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CF7005,07-06-17,07-06-18,08-06-17,40000035650,Acid Value,13.1,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CF7005,07-06-17,07-06-18,08-06-17,40000035650,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CF7005,07-06-17,07-06-18,08-06-17,40000035650,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CF7005,07-06-17,07-06-18,08-06-17,40000035650,Non Volatile Content,68.6,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CF7005,07-06-17,07-06-18,08-06-17,40000035650,Viscosity,A097,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH7006,09-08-17,09-08-18,09-08-17,40000037759,Acid Value,13.3,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH7006,09-08-17,09-08-18,09-08-17,40000037759,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH7006,09-08-17,09-08-18,09-08-17,40000037759,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH7006,09-08-17,09-08-18,09-08-17,40000037759,Non Volatile Content,68.2,67.0,69.0,JIS K5407
