Sales Organization,Customer,Material,Counter,Customer Name,Customer Part Code,Customer Material Description,Master insp.charac.,Short text,Unit of measurement,Upper Limit,Lower Limit,Qualitative MIC Specifications,Method,Specification Print,Created by,Created on,Time,Changed by,Changed on,Time of change,Deletion Indicator,Update Flag,Valid from,Valid to,Created by Prog.,Changed by Program
RB00,BG00013661,ENR286000-DR000200,6,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA040,MS,ml/g,15,7,,20oC,X,RB_SQ014,02-04-16,1:51:58 PM,RB_SQ014,18-05-16,4:32:28 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENR286000-DR000200,7,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA032,Crater,,4,0,,TMSC(A4 x 2Panel),X,RB_SQ014,02-04-16,1:51:58 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENR48B000-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_SQ001,17-03-15,4:37:11 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENR48B000-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,D-H,JIS K5400,X,RB_SQ001,17-03-15,4:37:11 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENR48B000-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA031,Color,Hz.No.,,,<30,JIS K6901,X,RB_SQ001,17-03-15,4:37:11 PM,RB_SQ014,13-05-15,3:23:13 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENR48B000-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA024,Acid Value,Km/g,,,<1.0,JIS K5407,X,RB_SQ001,17-03-15,4:37:11 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENR48B000-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,58.5,54.5,,JIS K5407,X,RB_SQ001,17-03-15,4:37:11 PM,RB_SQ014,13-05-15,3:23:13 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENR48B000-DR000200,6,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA026,ASTM,ml/g,,,>5.0,25oC,X,RB_SQ001,17-03-15,4:37:11 PM,RB_SQ014,13-05-15,3:23:13 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENR48B000-DR000200,7,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA032,Crater,,4,0,,TMSC(A4 x 2Panel),X,RB_SQ001,17-03-15,4:37:11 PM,RB_SQ014,13-05-15,3:23:13 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENR925T70-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_SQ001,23-03-15,10:53:52 AM,RB_UQ004,27-02-17,11:11:07 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENR925T70-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,X-Z2,JIS K5400,X,RB_SQ001,23-03-15,10:53:52 AM,RB_UQ004,27-02-17,11:11:07 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENR925T70-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA031,Color,Hz.No.,,,<30,JIS K6901,X,RB_SQ001,23-03-15,10:53:52 AM,RB_UQ004,27-02-17,11:11:07 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENR925T70-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA024,Acid Value,Km/g,,,<1.0,JIS K5407,X,RB_SQ001,23-03-15,10:53:52 AM,RB_UQ004,27-02-17,11:11:07 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
